trial,method,split,payload_bytes,bits_per_sentence,margin,encoding_success,byte_exact,ber_accepted,wire_tokens,wire_bytes,recovered_message_bits,seconds,failure
10,nearest,test,1,1,0.0001,False,False,,,0,0,0.09663237119093537,"{'block': 0, 'reason': 'candidate_selection_failed'}"
11,outlier,test,1,1,0.0001,False,False,,,0,0,0.09737728792242706,"{'block': 0, 'reason': 'candidate_selection_failed'}"
11,matched,test,1,1,0.0001,False,False,,,0,0,0.09682637010701,"{'block': 0, 'reason': 'candidate_selection_failed'}"
11,random,test,1,1,0.0001,False,False,,,0,0,0.09633084200322628,"{'block': 0, 'reason': 'candidate_selection_failed'}"
11,nearest,test,1,1,0.0001,False,False,,,0,0,0.09764361707493663,"{'block': 0, 'reason': 'candidate_selection_failed'}"
12,outlier,test,1,1,0.0001,False,False,,,0,0,0.096802799962461,"{'block': 0, 'reason': 'candidate_selection_failed'}"
12,matched,test,1,1,0.0001,False,False,,,0,0,0.10059804702177644,"{'block': 0, 'reason': 'candidate_selection_failed'}"
12,random,test,1,1,0.0001,False,False,,,0,0,0.09645063104107976,"{'block': 0, 'reason': 'candidate_selection_failed'}"
12,nearest,test,1,1,0.0001,False,False,,,0,0,0.09691385994665325,"{'block': 0, 'reason': 'candidate_selection_failed'}"
13,outlier,test,1,1,0.0001,False,False,,,0,0,0.09770962712354958,"{'block': 0, 'reason': 'candidate_selection_failed'}"
13,matched,test,1,1,0.0001,False,False,,,0,0,0.09931694180704653,"{'block': 0, 'reason': 'candidate_selection_failed'}"
13,random,test,1,1,0.0001,False,False,,,0,0,0.09772062697447836,"{'block': 0, 'reason': 'candidate_selection_failed'}"
13,nearest,test,1,1,0.0001,False,False,,,0,0,0.10027414816431701,"{'block': 0, 'reason': 'candidate_selection_failed'}"
14,outlier,test,1,1,0.0001,False,False,,,0,0,0.09634980093687773,"{'block': 0, 'reason': 'candidate_selection_failed'}"
14,matched,test,1,1,0.0001,False,False,,,0,0,0.09649233100935817,"{'block': 0, 'reason': 'candidate_selection_failed'}"
14,random,test,1,1,0.0001,False,False,,,0,0,0.09630598197691143,"{'block': 0, 'reason': 'candidate_selection_failed'}"
14,nearest,test,1,1,0.0001,False,False,,,0,0,0.0965201910585165,"{'block': 0, 'reason': 'candidate_selection_failed'}"
15,outlier,test,1,1,0.0001,False,False,,,0,0,0.09615977201610804,"{'block': 0, 'reason': 'candidate_selection_failed'}"
15,matched,test,1,1,0.0001,False,False,,,0,0,0.097137849079445,"{'block': 0, 'reason': 'candidate_selection_failed'}"
15,random,test,1,1,0.0001,False,False,,,0,0,0.096843880135566,"{'block': 0, 'reason': 'candidate_selection_failed'}"
15,nearest,test,1,1,0.0001,False,False,,,0,0,0.0968567100353539,"{'block': 0, 'reason': 'candidate_selection_failed'}"
16,outlier,test,1,1,0.0001,False,False,,,0,0,0.09670187998563051,"{'block': 0, 'reason': 'candidate_selection_failed'}"
16,matched,test,1,1,0.0001,False,False,,,0,0,0.09609949286095798,"{'block': 0, 'reason': 'candidate_selection_failed'}"
16,random,test,1,1,0.0001,False,False,,,0,0,0.09601790201850235,"{'block': 0, 'reason': 'candidate_selection_failed'}"
16,nearest,test,1,1,0.0001,False,False,,,0,0,0.096942950040102,"{'block': 0, 'reason': 'candidate_selection_failed'}"
17,outlier,test,1,1,0.0001,False,False,,,0,0,0.0990948521066457,"{'block': 0, 'reason': 'candidate_selection_failed'}"
17,matched,test,1,1,0.0001,False,False,,,0,0,0.0972238089889288,"{'block': 0, 'reason': 'candidate_selection_failed'}"
17,random,test,1,1,0.0001,False,False,,,0,0,0.09712003893218935,"{'block': 0, 'reason': 'candidate_selection_failed'}"
17,nearest,test,1,1,0.0001,False,False,,,0,0,0.09689029003493488,"{'block': 0, 'reason': 'candidate_selection_failed'}"
18,outlier,test,1,1,0.0001,False,False,,,0,0,0.09796558599919081,"{'block': 0, 'reason': 'candidate_selection_failed'}"
18,matched,test,1,1,0.0001,False,False,,,0,0,0.09782183589413762,"{'block': 0, 'reason': 'candidate_selection_failed'}"
18,random,test,1,1,0.0001,False,False,,,0,0,0.09670027089305222,"{'block': 0, 'reason': 'candidate_selection_failed'}"
18,nearest,test,1,1,0.0001,False,False,,,0,0,0.10034893802367151,"{'block': 0, 'reason': 'candidate_selection_failed'}"
19,outlier,test,1,1,0.0001,False,False,,,0,0,0.09732929803431034,"{'block': 0, 'reason': 'candidate_selection_failed'}"
19,matched,test,1,1,0.0001,False,False,,,0,0,0.09654834121465683,"{'block': 0, 'reason': 'candidate_selection_failed'}"
19,random,test,1,1,0.0001,False,False,,,0,0,0.09585055289790034,"{'block': 0, 'reason': 'candidate_selection_failed'}"
19,nearest,test,1,1,0.0001,False,False,,,0,0,0.0974019980058074,"{'block': 0, 'reason': 'candidate_selection_failed'}"
