split,bits,margin,method,parents,matched_parents,coverage_all,coverage_matched,full_coverage_all,pool_proxy_tv_success
test,1,0.0,outlier,4,0,0.0,,0.0,
test,1,0.0,matched,4,0,0.0,,0.0,
test,1,0.0,random,4,0,0.0,,0.0,
test,1,0.0,nearest,4,0,0.0,,0.0,
test,1,0.0001,outlier,4,0,0.0,,0.0,
test,1,0.0001,matched,4,0,0.0,,0.0,
test,1,0.0001,random,4,0,0.0,,0.0,
test,1,0.0001,nearest,4,0,0.0,,0.0,
test,1,0.0005,outlier,4,0,0.0,,0.0,
test,1,0.0005,matched,4,0,0.0,,0.0,
test,1,0.0005,random,4,0,0.0,,0.0,
test,1,0.0005,nearest,4,0,0.0,,0.0,
test,1,0.001,outlier,4,0,0.0,,0.0,
test,1,0.001,matched,4,0,0.0,,0.0,
test,1,0.001,random,4,0,0.0,,0.0,
test,1,0.001,nearest,4,0,0.0,,0.0,
test,2,0.0,outlier,4,0,0.0,,0.0,
test,2,0.0,matched,4,0,0.0,,0.0,
test,2,0.0,random,4,0,0.0,,0.0,
test,2,0.0,nearest,4,0,0.0,,0.0,
test,2,0.0001,outlier,4,0,0.0,,0.0,
test,2,0.0001,matched,4,0,0.0,,0.0,
test,2,0.0001,random,4,0,0.0,,0.0,
test,2,0.0001,nearest,4,0,0.0,,0.0,
test,2,0.0005,outlier,4,0,0.0,,0.0,
test,2,0.0005,matched,4,0,0.0,,0.0,
test,2,0.0005,random,4,0,0.0,,0.0,
test,2,0.0005,nearest,4,0,0.0,,0.0,
test,2,0.001,outlier,4,0,0.0,,0.0,
test,2,0.001,matched,4,0,0.0,,0.0,
test,2,0.001,random,4,0,0.0,,0.0,
test,2,0.001,nearest,4,0,0.0,,0.0,
test,3,0.0,outlier,4,0,0.0,,0.0,
test,3,0.0,matched,4,0,0.0,,0.0,
test,3,0.0,random,4,0,0.0,,0.0,
test,3,0.0,nearest,4,0,0.0,,0.0,
test,3,0.0001,outlier,4,0,0.0,,0.0,
test,3,0.0001,matched,4,0,0.0,,0.0,
test,3,0.0001,random,4,0,0.0,,0.0,
test,3,0.0001,nearest,4,0,0.0,,0.0,
test,3,0.0005,outlier,4,0,0.0,,0.0,
test,3,0.0005,matched,4,0,0.0,,0.0,
test,3,0.0005,random,4,0,0.0,,0.0,
test,3,0.0005,nearest,4,0,0.0,,0.0,
test,3,0.001,outlier,4,0,0.0,,0.0,
test,3,0.001,matched,4,0,0.0,,0.0,
test,3,0.001,random,4,0,0.0,,0.0,
test,3,0.001,nearest,4,0,0.0,,0.0,
ood,1,0.0,outlier,4,0,0.0,,0.0,
ood,1,0.0,matched,4,0,0.0,,0.0,
ood,1,0.0,random,4,0,0.0,,0.0,
ood,1,0.0,nearest,4,0,0.0,,0.0,
ood,1,0.0001,outlier,4,0,0.0,,0.0,
ood,1,0.0001,matched,4,0,0.0,,0.0,
ood,1,0.0001,random,4,0,0.0,,0.0,
ood,1,0.0001,nearest,4,0,0.0,,0.0,
ood,1,0.0005,outlier,4,0,0.0,,0.0,
ood,1,0.0005,matched,4,0,0.0,,0.0,
ood,1,0.0005,random,4,0,0.0,,0.0,
ood,1,0.0005,nearest,4,0,0.0,,0.0,
ood,1,0.001,outlier,4,0,0.0,,0.0,
ood,1,0.001,matched,4,0,0.0,,0.0,
ood,1,0.001,random,4,0,0.0,,0.0,
ood,1,0.001,nearest,4,0,0.0,,0.0,
ood,2,0.0,outlier,4,0,0.0,,0.0,
ood,2,0.0,matched,4,0,0.0,,0.0,
ood,2,0.0,random,4,0,0.0,,0.0,
ood,2,0.0,nearest,4,0,0.0,,0.0,
ood,2,0.0001,outlier,4,0,0.0,,0.0,
ood,2,0.0001,matched,4,0,0.0,,0.0,
ood,2,0.0001,random,4,0,0.0,,0.0,
ood,2,0.0001,nearest,4,0,0.0,,0.0,
ood,2,0.0005,outlier,4,0,0.0,,0.0,
ood,2,0.0005,matched,4,0,0.0,,0.0,
ood,2,0.0005,random,4,0,0.0,,0.0,
ood,2,0.0005,nearest,4,0,0.0,,0.0,
ood,2,0.001,outlier,4,0,0.0,,0.0,
ood,2,0.001,matched,4,0,0.0,,0.0,
ood,2,0.001,random,4,0,0.0,,0.0,
ood,2,0.001,nearest,4,0,0.0,,0.0,
ood,3,0.0,outlier,4,0,0.0,,0.0,
ood,3,0.0,matched,4,0,0.0,,0.0,
ood,3,0.0,random,4,0,0.0,,0.0,
ood,3,0.0,nearest,4,0,0.0,,0.0,
ood,3,0.0001,outlier,4,0,0.0,,0.0,
ood,3,0.0001,matched,4,0,0.0,,0.0,
ood,3,0.0001,random,4,0,0.0,,0.0,
ood,3,0.0001,nearest,4,0,0.0,,0.0,
ood,3,0.0005,outlier,4,0,0.0,,0.0,
ood,3,0.0005,matched,4,0,0.0,,0.0,
ood,3,0.0005,random,4,0,0.0,,0.0,
ood,3,0.0005,nearest,4,0,0.0,,0.0,
ood,3,0.001,outlier,4,0,0.0,,0.0,
ood,3,0.001,matched,4,0,0.0,,0.0,
ood,3,0.001,random,4,0,0.0,,0.0,
ood,3,0.001,nearest,4,0,0.0,,0.0,
